Art.;Conteudo
1;Art. 1 A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado democrático de direito e tem como fundamentos l- a soberania, ll - a cidadania, IlI - a dignidade da pessoa humana, IV - os valores sociais do trabalho e da livre iniciativa, V-o pluralismo político. Parágrafo único. Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição.
2;Art. 2 São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.
3;Art. 3 Constituem objetivos fundamentais da República Federativa do Brasil l- construir uma sociedade livre, justa e solidária, Il - garantir o desenvolvimento nacional, Ill - erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais, IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quais- quer outras formas de discriminação.
4;Art. 4 A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguin- tes princípios l- independência nacional, Il - prevalência dos direitos humanos, Ill - autodeterminação dos povos, IV - não intervenção, V - igualdade entre os Estados, VI - defesa da paz, VII - solução pacífica dos conflitos, VIII - repúdio ao terrorismo e ao racismo, IX - cooperação entre os povos para o progresso da humanidade, X - concessão de asilo político. Parágrafo único. A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino- -americana de nações. CONSTITUIÇÃO DA REPUBLICA FEDERATIVA DO BRASIL TÍTULO II - DOS DIREITOS E GARANTIAS FUNDAMENTAIS CAPÍTULO - DOS DIREITOS E DEVERES INDIVIDUAIS E COLETIVOS
5;Art. 5 Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes I- homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição, Il - ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei, IIl - ninguém será submetido a tortura nem a tratamento desumano ou degradante, IV - é livre a manifestação do pensamento, sendo vedado o anonimato, V — é assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem, VI - é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias, VII - é assegurada, nos termos da lei, a prestação de assistência religiosa nas entidades civis e militares de internação coletiva, VIII — ninguém será privado de direitos por motivo de crença religiosa ou de convicção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei, IX — é livre a expressão da atividade intelectual, artística, científica e de comunicação, inde- pendentemente de censura ou licença, X-são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação, XI - a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem consenti- mento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar socorro, ou, durante o dia, por determinação judicial, XII - é inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal, XIII — é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as qualificações profissionais que a lei estabelecer, XIV - é assegurado a todos o acesso à informação e resguardado o sigilo da fonte, quando necessário ao exercício profissional, XV - é livre a locomoção no território nacional em tempo de paz, podendo qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens, XVI - todos podem reunir-se pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente, XVII - é plena a liberdade de associação para fins lícitos, vedada a de caráter paramilitar, XVIII - a criação de associações e, na forma da lei, a de cooperativas independem de autori- zação, sendo vedada a interferência estatal em seu funcionamento, XIX - as associações só poderão ser compulsoriamente dissolvidas ou ter suas atividades suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em julgado, XX - ninguém poderá ser compelido a associar-se ou a permanecer associado, XXI - as entidades associativas, quando expressamente autorizadas, têm legitimidade para representar seus filiados judicial ou extrajudicialmente, XXII — é garantido o direito de propriedade, XXIII - a propriedade atenderá a sua função social, ART. 5º XXIV - a lei estabelecerá o procedimento para desapropriação por necessidade ou utilidade pública, ou por interesse social, mediante justa e prévia indenização em dinheiro, ressalvados os casos previstos nesta Constituição, XXV - no caso de iminente perigo público, a autoridade competente poderá usar de proprie- dade particular, assegurada ao proprietário indenização ulterior, se houver dano, XXVI - a pequena propriedade rural, assim definida em lei, desde que trabalhada pela família, não será objeto de penhora para pagamento de débitos decorrentes de sua atividade produtiva, dispondo a lei sobre os meios de financiar o seu desenvolvimento, XXVII - aos autores pertence o direito exclusivo de utilização, publicação ou reprodução de suas obras, transmissível aos herdeiros pelo tempo que a lei fixar, XXVIII - são assegurados, nos termos da lei a) a proteção às participações individuais em obras coletivas e à reprodução da imagem e voz humanas, inclusive nas atividades desportivas, b) o direito de fiscalização do aproveitamento econômico das obras que criarem ou de que participarem aos criadores, aos intérpretes e às respectivas representações sindicais e asso- ciativas, XXIX - a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País, XXX - é garantido o direito de herança, XXXI - a sucessão de bens de estrangeiros situados no País será regulada pela lei brasileira em benefício do cônjuge ou dos filhos brasileiros, sempre que não lhes seja mais favorável a lei pessoal do de cujus, XXXII - o Estado promoverá, na forma da lei, a defesa do consumidor, XXXIII - todos têm direito a receber dos órgãos públicos informações de seu interesse particular, ou de interesse coletivo ou geral, que serão prestadas no prazo da lei, sob pena de responsabilidade, ressalvadas aquelas cujo sigilo seja imprescindível à segurança da socie- dade e do Estado, XXXIV - são a todos assegurados, independentemente do pagamento de taxas a) o direito de petição aos poderes públicos em defesa de direitos ou contra ilegalidade ou abuso de poder, b) a obtenção de certidões em repartições públicas, para defesa de direitos e esclarecimento de situações de interesse pessoal, XXXV - a lei não excluirá da apreciação do Poder Judiciário lesão ou ameaça a direito, XXXVI - a lei não prejudicará o direito adquirido, o ato jurídico perfeito e a coisa julgada, XXXVII - não haverá juízo ou tribunal de exceção, XXXVIII - é reconhecida a instituição do júri, com a organização que lhe der a lei, assegurados a) a plenitude de defesa, b) o sigilo das votações, c) a soberania dos veredictos, d) a competência para o julgamento dos crimes dolosos contra a vida, XXXIX - não há crime sem lei anterior que o defina, nem pena sem prévia cominação legal, XL - a lei penal não retroagirá, salvo para beneficiar o réu, XLI - a lei punirá qualquer discriminação atentatória dos direitos e liberdades fundamentais, XLII - a prática do racismo constitui crime inafiançável e imprescritível, sujeito à pena de reclusão, nos termos da lei, T 2 CONSTITUIÇÃO DA REPUBLICA FEDERATIVA DO BRASIL XLIII — a lei considerará crimes inafiançáveis e insuscetíveis de graça ou anistia a prática da tortura, o tráfico ilícito de entorpecentes e drogas afins, o terrorismo e os definidos como crimes hediondos, por eles respondendo os mandantes, os executores e os que, podendo evitá-los, se omitirem, XLIV - constitui crime inafiançável e imprescritível a ação de grupos armados, civis ou mili- tares, contra a ordem constitucional e o Estado democrático, XLV - nenhuma pena passará da pessoa do condenado, podendo a obrigação de reparar o dano e a decretação do perdimento de bens ser, nos termos da lei, estendidas aos sucessores e contra eles executadas, até o limite do valor do patrimônio transferido, XLVI - a lei regulará a individualização da pena e adotará, entre outras, as seguintes a) privação ou restrição da liberdade, b) perda de bens, c) multa, d) prestação social alternativa, e) suspensão ou interdição de direitos, XLVII - não haverá penas a) de morte, salvo em caso de guerra declarada, nos termos do art. 84, XIX, b) de caráter perpétuo, c) de trabalhos forçados, d) de banimento, e) cruéis, XLVIII - a pena será cumprida em estabelecimentos distintos, de acordo com a natureza do delito, a idade e o sexo do apenado, XLIX — é assegurado aos presos o respeito à integridade física e moral, L - às presidiárias serão asseguradas condições para que possam permanecer com seus filhos durante o período de amamentação, LI - nenhum brasileiro será extraditado, salvo o naturalizado, em caso de crime comum, praticado antes da naturalização, ou de comprovado envolvimento em tráfico ilícito de entor- pecentes e drogas afins, na forma da lei, LII - não será concedida extradição de estrangeiro por crime político ou de opinião, LIII — ninguém será processado nem sentenciado senão pela autoridade competente, LIV - ninguém será privado da liberdade ou de seus bens sem o devido processo legal, LV - aos litigantes, em processo judicial ou administrativo, e aos acusados em geral são assegurados o contraditório e a ampla defesa, com os meios e recursos a ela inerentes, LVI - são inadmissíveis, no processo, as provas obtidas por meios ilícitos, LVII - ninguém será considerado culpado até o trânsito em julgado de sentença penal con- denatória, LVIII - o civilmente identificado não será submetido a identificação criminal, salvo nas hipóteses previstas em lei, LIX - será admitida ação privada nos crimes de ação pública, se esta não for intentada no prazo legal, LX - a lei só poderá restringir a publicidade dos atos processuais quando a defesa da intimi- dade ou o interesse social o exigirem, LXI - ninguém será preso senão em flagrante delito ou por ordem escrita e fundamentada de autoridade judiciária competente, salvo nos casos de transgressão militar ou crime propria- mente militar, definidos em lei, ART. 5º LXII - a prisão de qualquer pessoa e o local onde se encontre serão comunicados imediata- mente ao juiz competente e à família do preso ou à pessoa por ele indicada, LXIII - o preso será informado de seus direitos, entre os quais o de permanecer calado, sendo-lhe assegurada a assistência da família e de advogado, LXIV - o preso tem direito à identificação dos responsáveis por sua prisão ou por seu inter- rogatório policial, LXV - a prisão ilegal será imediatamente relaxada pela autoridade judiciária, LXVI - ninguém será levado à prisão ou nela mantido quando a lei admitir a liberdade pro- visória, com ou sem fiança, LXVII - não haverá prisão civil por dívida, salvo a do responsável pelo inadimplemento voluntário e inescusável de obrigação alimentícia e a do depositário infiel, LXVIII - conceder-se-á habeas corpus sempre que alguém sofrer ou se achar ameaçado de sofrer violência ou coação em sua liberdade de locomoção, por ilegalidade ou abuso de poder, LXIX - conceder-se-á mandado de segurança para proteger direito líquido e certo, não am- parado por habeas corpus ou habeas data, quando o responsável pela ilegalidade ou abuso de poder for autoridade pública ou agente de pessoa jurídica no exercício de atribuições do poder público, LXX - o mandado de segurança coletivo pode ser impetrado por a) partido político com representação no Congresso Nacional, b) organização sindical, entidade de classe ou associação legalmente constituída e em fun- cionamento há pelo menos um ano, em defesa dos interesses de seus membros ou associados, LXXI - conceder-se-á mandado de injunção sempre que a falta de norma regulamentadora torne inviável o exercício dos direitos e liberdades constitucionais e das prerrogativas inerentes à nacionalidade, à soberania e à cidadania, LXXII - conceder-se-á habeas data a) para assegurar o conhecimento de informações relativas à pessoa do impetrante, cons- tantes de registros ou bancos de dados de entidades governamentais ou de caráter público, b) para a retificação de dados, quando não se prefira fazê-lo por processo sigiloso, judicial ou administrativo, LXXIII - qualquer cidadão é parte legítima para propor ação popular que vise a anular ato le- sivo ao patrimônio público ou de entidade de que o Estado participe, à moralidade administra tiva, ao meio ambiente e ao patrimônio histórico e cultural, ficando o autor, salvo comprovada má-fé, isento de custas judiciais e do ônus da sucumbência, LXXIV - o Estado prestará assistência jurídica integral e gratuita aos que comprovarem insuficiência de recursos, LXXV - o Estado indenizará o condenado por erro judiciário, assim como o que ficar preso além do tempo fixado na sentença, LXXVI - são gratuitos para os reconhecidamente pobres, na forma da lei a) o registro civil de nascimento, b) a certidão de óbito, LXXVII - são gratuitas as ações de habeas corpus e habeas data, e, na forma da lei, os atos necessários ao exercício da cidadania, LXXVIII - a todos, no âmbito judicial e administrativo, são assegurados a razoável duração do processo e os meios que garantam a celeridade de sua tramitação. (Inciso acrescido pela EC nº 45, de 2004) LXXIX - é assegurado, nos termos da lei, o direito à proteção dos dados pessoais, inclusive nos meios digitais. (Inciso acrescido pela EC nº 115, de 2022) 13 14 CONSTITUIÇÃO DA REPUBLICA FEDERATIVA DO BRASIL § 1º As normas definidoras dos direitos e garantias fundamentais têm aplicação imediata. § 2º Os direitos e garantias expressos nesta Constituição não excluem outros decorrentes do regime e dos princípios por ela adotados, ou dos tratados internacionais em que a República Federativa do Brasil seja parte. 8 3º Os tratados e convenções internacionais sobre direitos humanos que forem aprovados, em cada Casa do Congresso Nacional, em dois turnos, por três quintos dos votos dos respecti- vos membros, serão equivalentes às emendas constitucionais. (Parágrafo acrescido pela EC nº 45, de 2004) § 4° O Brasil se submete à jurisdição de Tribunal Penal Internacional a cuja criação tenha manifestado adesão. (Parágrafo acrescido pela EC nº 45, de 2004) CAPÍTULO II - DOS DIREITOS SOCIAIS
6;Art. 6 São direitos sociais a educação, a saúde, a alimentação, o trabalho, a moradia, o transporte, o lazer, a segurança, a previdência social, a proteção à maternidade e à infância, a assistência aos desamparados, na forma desta Constituição. (Caput do artigo com redação dada pela EC nº 90, de 2015) Parágrafo único. Todo brasileiro em situação de vulnerabilidade social terá direito a uma renda básica familiar, garantida pelo poder público em programa permanente de transferência de renda, cujas normas e requisitos de acesso serão determinados em lei, observada a legisla- ção fiscal e orçamentária. (Parágrafo único acrescido pela EC nº 114, de 2021)
7;Art. 7 São direitos dos trabalhadores urbanos e rurais, além de outros que visem à melhoria de sua condição social - relação de emprego protegida contra despedida arbitrária ou sem justa causa, nos termos de lei complementar, que preverá indenização compensatória, dentre outros direitos, Il - seguro-desemprego, em caso de desemprego involuntário, III - fundo de garantia do tempo de serviço, IV - salário mínimo, fixado em lei, nacionalmente unificado, capaz de atender às suas ne- cessidades vitais básicas e às de sua família com moradia, alimentação, educação, saúde, lazer, vestuário, higiene, transporte e previdência social, com reajustes periódicos que lhe preservem o poder aquisitivo, sendo vedada sua vinculação para qualquer fim, V- piso salarial proporcional à extensão e à complexidade do trabalho, VI - irredutibilidade do salário, salvo o disposto em convenção ou acordo coletivo, VII - garantia de salário, nunca inferior ao mínimo, para os que percebem remuneração variável, VIII - décimo terceiro salário com base na remuneração integral ou no valor da aposenta- doria, IX - remuneração do trabalho noturno superior à do diurno, X - proteção do salário na forma da lei, constituindo crime sua retenção dolosa, XI - participação nos lucros, ou resultados, desvinculada da remuneração, e, excepcional- mente, participação na gestão da empresa, conforme definido em lei, XII - salário-família pago em razão do dependente do trabalhador de baixa renda nos ter- mos da lei, (Inciso com redação dada pela EC nº 20, de 1998) XIII — duração do trabalho normal não superior a oito horas diárias e quarenta e quatro semanais, facultada a compensação de horários e a redução da jornada, mediante acordo ou convenção coletiva de trabalho, ART. 7º XIV — jornada de seis horas para o trabalho realizado em turnos ininterruptos de reveza- mento, salvo negociação coletiva, XV - repouso semanal remunerado, preferencialmente aos domingos, XVI - remuneração do serviço extraordinário superior, no mínimo, em cinquenta por cento à do normal, XVII - gozo de férias anuais remuneradas com, pelo menos, um terço a mais do que o salário normal, XVIII - licença à gestante, sem prejuízo do emprego e do salário, com a duração de cento e vinte dias, XIX - licença-paternidade, nos termos fixados em lei, XX - proteção do mercado de trabalho da mulher, mediante incentivos específicos, nos termos da lei, XXI - aviso prévio proporcional ao tempo de serviço, sendo no mínimo de trinta dias, nos termos da lei, XXII - redução dos riscos inerentes ao trabalho, por meio de normas de saúde, higiene e segurança, XXIII — adicional de remuneração para as atividades penosas, insalubres ou perigosas, na forma da lei, XXIV - aposentadoria, XXV - assistência gratuita aos filhos e dependentes desde o nascimento até 5 (cinco) anos de idade em creches e pré-escolas, (Inciso com redação dada pela EC nº 53, de 2006) XXVI - reconhecimento das convenções e acordos coletivos de trabalho, XXVII - proteção em face da automação, na forma da lei, XXVIII - seguro contra acidentes de trabalho, a cargo do empregador, sem excluir a indeni- zação a que este está obrigado, quando incorrer em dolo ou culpa, XXIX - ação, quanto aos créditos resultantes das relações de trabalho, com prazo prescri- cional de cinco anos para os trabalhadores urbanos e rurais, até o limite de dois anos após a extinção do contrato de trabalho, (Inciso com redação dada pela EC nº 28, de 2000) a) (Alínea revogada pela EC nº 28, de 2000) b) (Alínea revogada pela EC nº 28, de 2000) XXX - proibição de diferença de salários, de exercício de funções e de critério de admissão por motivo de sexo, idade, cor ou estado civil, XXXI - proibição de qualquer discriminação no tocante a salário e critérios de admissão do trabalhador portador de deficiência, XXXII - proibição de distinção entre trabalho manual, técnico e intelectual ou entre os pro- fissionais respectivos, XXXIII — proibição de trabalho noturno, perigoso ou insalubre a menores de dezoito e de qualquer trabalho a menores de dezesseis anos, salvo na condição de aprendiz, a partir de quatorze anos, (Inciso com redação dada pela EC nº 20, de 1998) XXXIV - igualdade de direitos entre o trabalhador com vínculo empregatício permanente e o trabalhador avulso. Parágrafo único. São assegurados à categoria dos trabalhadores domésticos os direitos pre- vistos nos incisos IV, VI, VII, VII, X, XII, XV, XVI, XVII, XVII, XIX, XXI, XXII, XXIV, XXVI, XXX, XXXI e XXXIII e, atendidas as condições estabelecidas em lei e observada a simplificação do cumprimento das obrigações tributárias, principais e acessórias, decorrentes da relação de trabalho e suas peculiaridades, os previstos nos incisos , II, HI, IX, XII, XXV e XXVIII, bem como a sua integração à previdência social. (Parágrafo único com redação dada pela EC nº 72, de 2013) 15 16 CONSTITUIÇÃO DA REPUBLICA FI
8;Art. 8 É livre a associação profissional ou sindical, observado o seguinte - a lei não poderá exigir autorização do Estado para a fundação de sindicato, ressalvado o registro no órgão competente, vedadas ao poder público a interferência e a intervenção na organização sindical, Il — é vedada a criação de mais de uma organização sindical, em qualquer grau, represen- tativa de categoria profissional ou econômica, na mesma base territorial, que será definida pelos trabalhadores ou empregadores interessados, não podendo ser inferior à área de um Município, IIl- ao sindicato cabe a defesa dos direitos e interesses coletivos ou individuais da categoria, inclusive em questões judiciais ou administrativas, IV - a assembleia geral fixará a contribuição que, em se tratando de categoria profissional, será descontada em folha, para custeio do sistema confederativo da representação sindical res- pectiva, independentemente da contribuição prevista em lei, V - ninguém será obrigado a filiar-se ou a manter-se filiado a sindicato, VI - é obrigatória a participação dos sindicatos nas negociações coletivas de trabalho, VII - o aposentado filiado tem direito a votar e ser votado nas organizações sindicais, VIII - é vedada a dispensa do empregado sindicalizado a partir do registro da candidatura a cargo de direção ou representação sindical e, se eleito, ainda que suplente, até um ano após o final do mandato, salvo se cometer falta grave nos termos da lei. Parágrafo único. As disposições deste artigo aplicam-se à organização de sindicatos rurais e de colônias de pescadores, atendidas as condições que a lei estabelecer.
9;Art. 9 É assegurado o direito de greve, competindo aos trabalhadores decidir sobre a oportu- nidade de exercê-lo e sobre os interesses que devam por meio dele defender. § 1º A lei definirá os serviços ou atividades essenciais e disporá sobre o atendimento das necessidades inadiáveis da comunidade. § 2º Os abusos cometidos sujeitam os responsáveis às penas da lei.
10;Art. 10 . É assegurada a participação dos trabalhadores e empregadores nos colegiados dos órgãos públicos em que seus interesses profissionais ou previdenciários sejam objeto de dis- cussão e deliberação.
